sample,condition
marble_finch,condition_a
azure_thorn,condition_a
cobalt_reed,condition_a
ember_fern,condition_a
flint_grove,condition_a
garnet_marsh,condition_a
hazel_brook,condition_a
indigo_peak,condition_a
jasper_vale,condition_a
kelp_hollow,condition_a
lapis_glade,condition_a
mango_ridge,condition_a
nexus_cove,condition_a
obsid_bluff,condition_a
pearl_drift,condition_a
quartz_fen,condition_a
russet_moor,condition_a
sable_knoll,condition_a
teal_hollow,condition_b
umber_cliff,condition_b
virid_basin,condition_b
willow_span,condition_b
xenon_flats,condition_b
yucca_downs,condition_b
zircon_bay,condition_b
acorn_ridge,condition_b
birch_delta,condition_b
cedar_haven,condition_b
denim_falls,condition_b
elder_grove,condition_b
flax_summit,condition_b
gorse_plain,condition_b
heath_ledge,condition_b
ivory_shore,condition_b
jetty_crest,condition_b
kestrel_ford,condition_b
