sample,fastq_1,fastq_2,strandedness
marble_finch,/data/fastq/marble_finch/marble_finch_R1.fastq.gz,/data/fastq/marble_finch/marble_finch_R2.fastq.gz,auto
azure_thorn,/data/fastq/azure_thorn/azure_thorn_R1.fastq.gz,/data/fastq/azure_thorn/azure_thorn_R2.fastq.gz,auto
cobalt_reed,/data/fastq/cobalt_reed/cobalt_reed_R1.fastq.gz,/data/fastq/cobalt_reed/cobalt_reed_R2.fastq.gz,auto
ember_fern,/data/fastq/ember_fern/ember_fern_R1.fastq.gz,/data/fastq/ember_fern/ember_fern_R2.fastq.gz,auto
flint_grove,/data/fastq/flint_grove/flint_grove_R1.fastq.gz,/data/fastq/flint_grove/flint_grove_R2.fastq.gz,auto
garnet_marsh,/data/fastq/garnet_marsh/garnet_marsh_R1.fastq.gz,/data/fastq/garnet_marsh/garnet_marsh_R2.fastq.gz,auto
hazel_brook,/data/fastq/hazel_brook/hazel_brook_R1.fastq.gz,/data/fastq/hazel_brook/hazel_brook_R2.fastq.gz,auto
indigo_peak,/data/fastq/indigo_peak/indigo_peak_R1.fastq.gz,/data/fastq/indigo_peak/indigo_peak_R2.fastq.gz,auto
jasper_vale,/data/fastq/jasper_vale/jasper_vale_R1.fastq.gz,/data/fastq/jasper_vale/jasper_vale_R2.fastq.gz,auto
kelp_hollow,/data/fastq/kelp_hollow/kelp_hollow_R1.fastq.gz,/data/fastq/kelp_hollow/kelp_hollow_R2.fastq.gz,auto
lapis_glade,/data/fastq/lapis_glade/lapis_glade_R1.fastq.gz,/data/fastq/lapis_glade/lapis_glade_R2.fastq.gz,auto
mango_ridge,/data/fastq/mango_ridge/mango_ridge_R1.fastq.gz,/data/fastq/mango_ridge/mango_ridge_R2.fastq.gz,auto
nexus_cove,/data/fastq/nexus_cove/nexus_cove_R1.fastq.gz,/data/fastq/nexus_cove/nexus_cove_R2.fastq.gz,auto
obsid_bluff,/data/fastq/obsid_bluff/obsid_bluff_R1.fastq.gz,/data/fastq/obsid_bluff/obsid_bluff_R2.fastq.gz,auto
pearl_drift,/data/fastq/pearl_drift/pearl_drift_R1.fastq.gz,/data/fastq/pearl_drift/pearl_drift_R2.fastq.gz,auto
quartz_fen,/data/fastq/quartz_fen/quartz_fen_R1.fastq.gz,/data/fastq/quartz_fen/quartz_fen_R2.fastq.gz,auto
russet_moor,/data/fastq/russet_moor/russet_moor_R1.fastq.gz,/data/fastq/russet_moor/russet_moor_R2.fastq.gz,auto
sable_knoll,/data/fastq/sable_knoll/sable_knoll_R1.fastq.gz,/data/fastq/sable_knoll/sable_knoll_R2.fastq.gz,auto
teal_hollow,/data/fastq/teal_hollow/teal_hollow_R1.fastq.gz,/data/fastq/teal_hollow/teal_hollow_R2.fastq.gz,auto
umber_cliff,/data/fastq/umber_cliff/umber_cliff_R1.fastq.gz,/data/fastq/umber_cliff/umber_cliff_R2.fastq.gz,auto
virid_basin,/data/fastq/virid_basin/virid_basin_R1.fastq.gz,/data/fastq/virid_basin/virid_basin_R2.fastq.gz,auto
willow_span,/data/fastq/willow_span/willow_span_R1.fastq.gz,/data/fastq/willow_span/willow_span_R2.fastq.gz,auto
xenon_flats,/data/fastq/xenon_flats/xenon_flats_R1.fastq.gz,/data/fastq/xenon_flats/xenon_flats_R2.fastq.gz,auto
yucca_downs,/data/fastq/yucca_downs/yucca_downs_R1.fastq.gz,/data/fastq/yucca_downs/yucca_downs_R2.fastq.gz,auto
zircon_bay,/data/fastq/zircon_bay/zircon_bay_R1.fastq.gz,/data/fastq/zircon_bay/zircon_bay_R2.fastq.gz,auto
acorn_ridge,/data/fastq/acorn_ridge/acorn_ridge_R1.fastq.gz,/data/fastq/acorn_ridge/acorn_ridge_R2.fastq.gz,auto
birch_delta,/data/fastq/birch_delta/birch_delta_R1.fastq.gz,/data/fastq/birch_delta/birch_delta_R2.fastq.gz,auto
cedar_haven,/data/fastq/cedar_haven/cedar_haven_R1.fastq.gz,/data/fastq/cedar_haven/cedar_haven_R2.fastq.gz,auto
denim_falls,/data/fastq/denim_falls/denim_falls_R1.fastq.gz,/data/fastq/denim_falls/denim_falls_R2.fastq.gz,auto
elder_grove,/data/fastq/elder_grove/elder_grove_R1.fastq.gz,/data/fastq/elder_grove/elder_grove_R2.fastq.gz,auto
flax_summit,/data/fastq/flax_summit/flax_summit_R1.fastq.gz,/data/fastq/flax_summit/flax_summit_R2.fastq.gz,auto
gorse_plain,/data/fastq/gorse_plain/gorse_plain_R1.fastq.gz,/data/fastq/gorse_plain/gorse_plain_R2.fastq.gz,auto
heath_ledge,/data/fastq/heath_ledge/heath_ledge_R1.fastq.gz,/data/fastq/heath_ledge/heath_ledge_R2.fastq.gz,auto
ivory_shore,/data/fastq/ivory_shore/ivory_shore_R1.fastq.gz,/data/fastq/ivory_shore/ivory_shore_R2.fastq.gz,auto
jetty_crest,/data/fastq/jetty_crest/jetty_crest_R1.fastq.gz,/data/fastq/jetty_crest/jetty_crest_R2.fastq.gz,auto
kestrel_ford,/data/fastq/kestrel_ford/kestrel_ford_R1.fastq.gz,/data/fastq/kestrel_ford/kestrel_ford_R2.fastq.gz,auto
